participant	content
MOT:	what was [/?] the weather ?
MOT:	do they look in the houses ?
CHI:	eat cheese ball .
MOT:	he'll bite your fingers .
MOT:	yeah .
CHI:	find animal .
CHI:	a snake .
CHI:	fence .
CHI:	right there .
CHI:	roo [/?] .
MOT:	okay .
CHI:	yes .
MOT:	full sentence .
MOT:	mhm [/?] ?
MOT:	what did you play with at the museum ?
CHI:	no .
CHI:	chicken ?
MOT:	what are they looking for ?
MOT:	or in the sky ?
MOT:	do [/?] how many books do you wanna bring to Aunt Betty's house ?
MOT:	where [/?] where did we get the play+dough ?
CHI:	chickens lay eggs .
CHI:	sleeping .
MOT:	where else can you find a snake ?
MOT:	sit down .
CHI:	chicken .
CHI:	yes .
CHI:	Aunt_Betty .
MOT:	yeah .
CHI:	school .
MOT:	swimming , yes .
MOT:	does he have fur or feathers ?
CHI:	xxx .
MOT:	okay .
CHI:	go school .
MOT:	what is [/?] he , sleeping or standing ?
MOT:	oh , you ride nugget too ?
CHI:	no be [/?] play .
MOT:	right there .
MOT:	we went to the +/.
CHI:	vegetable are garden .
MOT:	what do horses eat ?
CHI:	school .
CHI:	get meat+loaf .
MOT:	mommy and daddy , Kristin , Matt , Timmy , and Ryan went for a ride
CHI:	sun [/?] on sunday ?
MOT:	trees or vegetables ?
MOT:	we went for another ride .
MOT:	what are these ?
MOT:	can you say a full sentence ?
MOT:	cow drinks milk .
CHI:	farm .
MOT:	yes .
MOT:	owl , yes .
MOT:	what is the cow doing ?
MOT:	where did we go ?
MOT:	we do indirectly get meat .
MOT:	he stayed at our house sunday during the day .
MOT:	you might play with play+dough , yeah .
CHI:	five day .
CHI:	bird .
MOT:	birds have +/.
MOT:	do you ride spot ?
CHI:	owl .
MOT:	does he fly in the sky ?
MOT:	and daddy , yes .
MOT:	not fur .
MOT:	what did the bears find in the tree ?
MOT:	are [/?] you gonna be a good boy for Aunt_Betty ?
CHI:	bird .
MOT:	who went to the museum with us ?
MOT:	who's going to Aunt_Betty's with you ?
MOT:	that's right .
MOT:	do you like to hold them ?
MOT:	is [/?] that okay ?
MOT:	okay .
CHI:	cow .
MOT:	do you ride horses ?
MOT:	the vegetables are i [/?] +/.
CHI:	no fish .
MOT:	yes .
MOT:	horse .
MOT:	yeah .
MOT:	okay ?
MOT:	full sentence .
CHI:	mommy bear .
CHI:	eat hay !
MOT:	that's right .
MOT:	I wanted you to make up something .
MOT:	that's right .
CHI:	&-um [/?] .
CHI:	honey .
MOT:	you did .
MOT:	who's going down to Aunt_Betty's with you ?
MOT:	yeah .
MOT:	remember saturday ?
MOT:	what are [/?] you making now ?
MOT:	on the +/.
MOT:	that's right .
CHI:	carrot .
MOT:	you like cu [/?] +/.
CHI:	not on couch .
MOT:	that's right .
MOT:	and creep .
MOT:	get what ?
CHI:	cow .
CHI:	animal .
CHI:	Uncle_Brad .
CHI:	no .
MOT:	eggs .
MOT:	crawl .
MOT:	that's right .
CHI:	no .
CHI:	green .
MOT:	who's your teacher at school <this week> [/?] this summer ?
CHI:	no .
CHI:	no Aunt_Betty .
MOT:	did you wear a towel ?
